"Search query: ((""Atrial Fibrillation""[Title/Abstract]) OR (""Atrial Fibrillation*""[Title/Abstract]) OR (""Auricular Fibrillation""[Title/Abstract]) OR (""Familial Atrial Fibrillation""[Title/Abstract]) OR (""Paroxysmal Atrial Fibrillation""[Title/Abstract]) OR (""Persistent Atrial Fibrillation""[Title/Abstract]) OR (""Permanent Atrial Fibrillation""[Title/Abstract])) AND ((gene[Title/Abstract]) OR (genes[Title/Abstract]) OR (gene*[Title/Abstract]) OR (""abnormal gene""[Title/Abstract]) OR (""altered gene""[Title/Abstract]) OR (""cell gene""[Title/Abstract]) OR (genetic[Title/Abstract]) OR (genomic[Title/Abstract]) OR (""structural gene""[Title/Abstract]) OR (cistron[Title/Abstract]) OR (""genetic material""[Title/Abstract]) OR (allele[Title/Abstract]) OR (alleles[Title/Abstract]) OR (allele*[Title/Abstract])) AND ((Human*[Title/Abstract]) OR (Person*[Title/Abstract]) OR (""Homo sapiens""[Title/Abstract]) OR (Man[Title/Abstract]) OR (""Modern Man""[Title/Abstract])) AND ((""Older adults""[Title/Abstract]) OR (""Older people""[Title/Abstract]) OR (""Older populations""[Title/Abstract]) OR (Seniors[Title/Abstract]) OR (Elderly[Title/Abstract]) OR (Aged[Title/Abstract]) OR (""Advanced age""[Title/Abstract]) OR (""Older persons""[Title/Abstract]) OR (""Mature adults""[Title/Abstract]))"
Year,Count
2024,21
2023,17
2022,30
2021,22
2020,19
2019,17
2018,18
2017,16
2016,7
2015,15
2014,9
2013,7
2012,8
2011,5
2010,1
2009,5
2008,3
2007,3
2006,4
2005,1
2003,3
2002,1
2001,3
2000,2
1999,5
1998,3
1997,2
1996,1
1995,1
1993,1
1992,1
1991,2
1989,1
1983,1
1979,1
